Text,URL
"['[SALAH] “Covid-19 BUKAN Virus, Sumber : Kementerian Kesehatan Italy”']",https://turnbackhoax.id/2021/02/14/salah-covid-19-bukan-virus-sumber-kementerian-kesehatan-italy/
['[SALAH] Kondisi Seorang Remaja Perempuan Setelah Vaksinasi Covid-19'],https://turnbackhoax.id/2021/02/12/salah-kondisi-seorang-remaja-perempuan-setelah-vaksinasi-covid-19/
['[SALAH] Vietnam Tanpa Kasus Kematian Akibat Covid-19 karena Campuran Teh Panas dan Lemon'],https://turnbackhoax.id/2021/02/11/salah-vietnam-tanpa-kasus-kematian-akibat-covid-19-karena-campuran-teh-panas-dan-lemon/
['[SALAH] Minum Air Hangat 4 Kali Sehari Dapat Menyembuhkan Covid-19'],https://turnbackhoax.id/2021/02/10/salah-minum-air-hangat-4-kali-sehari-dapat-menyembuhkan-covid-19/
['[SALAH] Yahya Waloni Menuai Balasan dari Ucapannya yang Menantang Covid-19 dan Enggan Menggunakan Masker'],https://turnbackhoax.id/2021/02/07/salah-yahya-waloni-menuai-balasan-dari-ucapannya-yang-menantang-covid-19-dan-enggan-menggunakan-masker/
['[SALAH] Obat Klorin Dioksida Temuan Prof Dr Richard Claproth Dapat Menyembuhkan Covid-19'],https://turnbackhoax.id/2021/02/07/salah-obat-klorin-dioksida-temuan-prof-dr-richard-claproth-dapat-menyembuhkan-covid-19/
['[SALAH] Video Air Rebusan Belimbing Wuluh Dapat Mencegah dan Menyembuhkan Covid-19'],https://turnbackhoax.id/2021/02/06/salah-video-air-rebusan-belimbing-wuluh-dapat-mencegah-dan-menyembuhkan-covid-19/
['[SALAH] Ramuan Penangkal Covid-19 oleh Kemenkes'],https://turnbackhoax.id/2021/02/05/salah-ramuan-penangkal-covid-19-oleh-kemenkes/
['[SALAH] Menteri Kesehatan Thailand Menangis Saat Disuntik Vaksin Covid-19'],https://turnbackhoax.id/2021/02/03/salah-menteri-kesehatan-thailand-menangis-saat-mendapat-vaksin-covid-19/
['[SALAH] Bantuan Covid-19 untuk Pemilik SIM A dan C oleh Asuransi Jasa Raharja'],https://turnbackhoax.id/2021/02/03/salah-bantuan-covid-19-untuk-pemilik-sim-a-dan-c-oleh-asuransi-jasa-raharja/
['[SALAH] Lianhua Qingwen Dapat Digunakan Sebagai Obat Covid-19'],https://turnbackhoax.id/2021/01/28/salah-lianhua-qingwen-dapat-digunakan-sebagai-obat-covid-19/
['[SALAH] Nomor Palsu Satgas Covid-19 Beredar di Whatsapp'],https://turnbackhoax.id/2021/01/28/salah-nomor-palsu-satgas-covid-19-beredar-di-whatsapp/
['[SALAH] Diagram Chip 5G pada Vaksin Covid-19'],https://turnbackhoax.id/2021/01/21/salah-diagram-chip-5g-pada-vaksin-covid-19/
['[SALAH] Obat COVID-19 Dexamethasone Lebih Murah dari Harga Vaksin COVID-19'],https://turnbackhoax.id/2021/01/21/salah-obat-covid-19-dexamethasone-lebih-murah-dari-harga-vaksin-covid-19/
['[SALAH] “Eric tohir sang missionaris chip covid-19”'],https://turnbackhoax.id/2021/01/21/salah-penjelasan-erick-thohir-terkait-chip-covid-19-dalam-vaksin-dapat-mengontrol-manusia-seumur-hidup/
['[SALAH] “5 cara utk meningkatkan ANTI BODY” dari Regu Pembasmi Covid-19'],https://turnbackhoax.id/2021/01/20/salah-5-cara-utk-meningkatkan-anti-body-dari-regu-pembasmi-covid-19/
['[SALAH] Video Puluhan Santri Pingsan Setelah Vaksin Covid-19 Sinovac'],https://turnbackhoax.id/2021/01/19/salah-video-puluhan-santri-pingsan-setelah-vaksin-covid-19-sinovac/
